Country of residence,Origin,Year,Month,Values
Bulgaria,Sierra Leone,2001,June,4
Bulgaria,Sierra Leone,2001,September,2
Canada,Sierra Leone,2001,January,9
Canada,Sierra Leone,2001,February,10
Canada,Sierra Leone,2001,March,5
Canada,Sierra Leone,2001,April,6
Canada,Sierra Leone,2001,May,9
Canada,Sierra Leone,2001,June,3
Canada,Sierra Leone,2001,July,16
Canada,Sierra Leone,2001,August,10
Canada,Sierra Leone,2001,September,8
Canada,Sierra Leone,2001,October,5
Canada,Sierra Leone,2001,November,3
Canada,Sierra Leone,2001,December,5
Cyprus,Sierra Leone,2001,January,1
Cyprus,Sierra Leone,2001,December,1
Czech Rep.,Sierra Leone,2001,January,2
Czech Rep.,Sierra Leone,2001,April,1
Czech Rep.,Sierra Leone,2001,May,1
Czech Rep.,Sierra Leone,2001,July,4
Czech Rep.,Sierra Leone,2001,September,1
Czech Rep.,Sierra Leone,2001,October,2
Czech Rep.,Sierra Leone,2001,December,1
Denmark,Sierra Leone,2001,February,1
Denmark,Sierra Leone,2001,March,2
Denmark,Sierra Leone,2001,April,5
Denmark,Sierra Leone,2001,May,5
Denmark,Sierra Leone,2001,July,1
Denmark,Sierra Leone,2001,August,2
Denmark,Sierra Leone,2001,September,1
Denmark,Sierra Leone,2001,October,3
Denmark,Sierra Leone,2001,November,2
Denmark,Sierra Leone,2001,December,3
Finland,Sierra Leone,2001,January,1
Finland,Sierra Leone,2001,April,1
Finland,Sierra Leone,2001,June,1
Finland,Sierra Leone,2001,July,2
Finland,Sierra Leone,2001,October,3
France,Sierra Leone,2001,January,77
France,Sierra Leone,2001,February,72
France,Sierra Leone,2001,March,85
France,Sierra Leone,2001,April,69
France,Sierra Leone,2001,May,68
France,Sierra Leone,2001,June,59
France,Sierra Leone,2001,July,59
France,Sierra Leone,2001,August,52
France,Sierra Leone,2001,September,80
France,Sierra Leone,2001,October,69
France,Sierra Leone,2001,November,74
France,Sierra Leone,2001,December,59
Germany,Sierra Leone,2001,January,168
Germany,Sierra Leone,2001,February,120
Germany,Sierra Leone,2001,March,166
Germany,Sierra Leone,2001,April,130
Germany,Sierra Leone,2001,May,126
Germany,Sierra Leone,2001,June,138
Germany,Sierra Leone,2001,July,153
Germany,Sierra Leone,2001,August,134
Germany,Sierra Leone,2001,September,86
Germany,Sierra Leone,2001,October,119
Germany,Sierra Leone,2001,November,106
Germany,Sierra Leone,2001,December,72
Greece,Sierra Leone,2001,January,3
Greece,Sierra Leone,2001,February,2
Greece,Sierra Leone,2001,March,7
Greece,Sierra Leone,2001,May,2
Greece,Sierra Leone,2001,June,4
Greece,Sierra Leone,2001,July,8
Greece,Sierra Leone,2001,August,34
Greece,Sierra Leone,2001,September,1
Greece,Sierra Leone,2001,November,4
Greece,Sierra Leone,2001,December,98
Hungary,Sierra Leone,2001,January,15
Hungary,Sierra Leone,2001,February,8
Hungary,Sierra Leone,2001,March,23
Hungary,Sierra Leone,2001,April,23
Hungary,Sierra Leone,2001,May,20
Hungary,Sierra Leone,2001,June,23
Hungary,Sierra Leone,2001,July,31
Hungary,Sierra Leone,2001,August,21
Hungary,Sierra Leone,2001,September,51
Hungary,Sierra Leone,2001,October,40
Hungary,Sierra Leone,2001,November,31
Hungary,Sierra Leone,2001,December,9
Ireland,Sierra Leone,2001,January,9
Ireland,Sierra Leone,2001,February,11
Ireland,Sierra Leone,2001,March,16
Ireland,Sierra Leone,2001,April,11
Ireland,Sierra Leone,2001,May,19
Ireland,Sierra Leone,2001,June,10
Ireland,Sierra Leone,2001,July,8
Ireland,Sierra Leone,2001,August,14
Ireland,Sierra Leone,2001,September,12
Ireland,Sierra Leone,2001,October,21
Ireland,Sierra Leone,2001,November,7
Ireland,Sierra Leone,2001,December,8
Luxembourg,Sierra Leone,2001,July,1
Luxembourg,Sierra Leone,2001,November,1
Luxembourg,Sierra Leone,2001,December,1
Netherlands,Sierra Leone,2001,January,207
Netherlands,Sierra Leone,2001,February,203
Netherlands,Sierra Leone,2001,March,216
Netherlands,Sierra Leone,2001,April,216
Netherlands,Sierra Leone,2001,May,135
Netherlands,Sierra Leone,2001,June,170
Netherlands,Sierra Leone,2001,July,205
Netherlands,Sierra Leone,2001,August,178
Netherlands,Sierra Leone,2001,September,148
Netherlands,Sierra Leone,2001,October,247
Netherlands,Sierra Leone,2001,November,229
Netherlands,Sierra Leone,2001,December,251
New Zealand,Sierra Leone,2001,January,1
New Zealand,Sierra Leone,2001,May,1
New Zealand,Sierra Leone,2001,September,1
Norway,Sierra Leone,2001,February,2
Norway,Sierra Leone,2001,March,1
Norway,Sierra Leone,2001,April,1
Norway,Sierra Leone,2001,May,1
Norway,Sierra Leone,2001,August,4
Norway,Sierra Leone,2001,September,1
Norway,Sierra Leone,2001,October,2
Norway,Sierra Leone,2001,November,4
Poland,Sierra Leone,2001,September,1
Poland,Sierra Leone,2001,November,3
Portugal,Sierra Leone,2001,January,5
Portugal,Sierra Leone,2001,February,1
Portugal,Sierra Leone,2001,March,6
Portugal,Sierra Leone,2001,April,4
Portugal,Sierra Leone,2001,June,2
Portugal,Sierra Leone,2001,July,7
Portugal,Sierra Leone,2001,August,2
Portugal,Sierra Leone,2001,September,1
Portugal,Sierra Leone,2001,October,4
Portugal,Sierra Leone,2001,November,3
Portugal,Sierra Leone,2001,December,5
Romania,Sierra Leone,2001,January,1
Romania,Sierra Leone,2001,February,5
Romania,Sierra Leone,2001,March,2
Romania,Sierra Leone,2001,April,2
Romania,Sierra Leone,2001,May,4
Romania,Sierra Leone,2001,June,1
Romania,Sierra Leone,2001,July,11
Romania,Sierra Leone,2001,August,3
Romania,Sierra Leone,2001,September,2
Romania,Sierra Leone,2001,December,2
Slovakia,Sierra Leone,2001,May,10
Slovakia,Sierra Leone,2001,June,6
Slovakia,Sierra Leone,2001,July,5
Slovakia,Sierra Leone,2001,August,14
Slovakia,Sierra Leone,2001,September,29
Slovakia,Sierra Leone,2001,October,49
Slovakia,Sierra Leone,2001,November,22
Slovakia,Sierra Leone,2001,December,21
Slovenia,Sierra Leone,2001,January,2
